wallet,lock_months,events,total_usd,group
0x5673419f9011337bd0d68d8c17f9511343d74d8c,12,2,25000.0,BIZDE_YOK
0x88c780c9cc3fb66bf21753c659c4890cc7919270,12,1,25000.0,BIZDE_YOK
0x048991621523fd86eebffbf091086b65748efad5,6,1,5000.25,BIZDE_YOK
0xcb881378b8719d4584397d7f84eb9c99e28ea802,12,1,5000.0,BIZDE_YOK
0x06f223e0ac589204b07922c85ca1addad825379b,12,2,2200.7,BIZDE_YOK
0xe7a1602a273dcf45369e1f3bcf3dfba8d1fe3cb6,12,2,1090.0,BIZDE_YOK
0x59c6cd89bdf4f446493b60302e9a40e6d6653bc5,12,1,511.0,BIZDE_YOK
0x093ffe9e875b2a4fd1f0a556c684ca81e5928274,1,1,500.0,BIZDE_YOK
0x29a0e5b982c4032d17509a135ab9ea27af2bfe93,6,1,500.0,BIZDE_YOK
0x3a87627b8c06de617e46eb279b639c4a85a8d653,12,1,500.0,BIZDE_YOK
0x4b5dfbc0bb2099b7ed12b67bfa29eb215cdf1598,1,1,500.0,BIZDE_YOK
0x8177598e08ee8199c160a48c7a0af31ab54bb59f,1,1,500.0,BIZDE_YOK
0xe8c4170f68518c3b6bc3c6c9b33a071bea44e569,1,1,500.0,BIZDE_YOK
